key	unconditional_sites	conditional_sites	inferred_optionality
accessKeyId	1	0	required
accessKeySecret	1	0	required
account	1	1	mixed
ams_mapping	2	0	required
ams_mapping2	2	0	required
apix	1	0	required
autoBedLeveling	1	0	required
auto_bed_leveling	4	0	required
autotest_token	1	1	mixed
avatar	3	1	mixed
base_domain	1	0	required
base_id	0	2	always_conditional
bed_leveling	5	0	required
bed_type	2	0	required
bind	0	1	always_conditional
bucketName	1	0	required
cdnUrl	1	0	required
cfg	15	0	required
cmd_type	1	0	required
command	7	4	mixed
connect	0	1	always_conditional
content	0	1	always_conditional
country_code	1	0	required
data	8	7	mixed
dest_name	0	1	always_conditional
dest_storage	0	1	always_conditional
dev_id	6	1	mixed
dev_ip	5	0	required
dev_name	1	0	required
different_settings_to_system	0	1	always_conditional
e-improved	1	0	required
emqx	1	0	required
endpoint	1	0	required
environment	1	0	required
err_code	0	4	always_conditional
error	0	4	always_conditional
error_msg	2	33	mixed
expiration	1	0	required
expires_in	2	0	required
extrudeCaliFlag	1	0	required
extrude_cali_flag	4	0	required
extrude_cali_manual_mode	0	2	always_conditional
file	2	0	required
file_path	0	1	always_conditional
flow_cali	5	0	required
force	0	1	always_conditional
id	0	2	always_conditional
identifier	0	1	always_conditional
images	0	1	always_conditional
iot	1	0	required
job_id	0	2	always_conditional
last_monitor_machine	1	2	mixed
layer_inspect	2	0	required
login	12	35	mixed
login_status	0	1	always_conditional
md5	2	2	mixed
model	0	1	always_conditional
name	5	2	mixed
nozzleOffsetCali	1	0	required
nozzle_mapping	0	1	always_conditional
nozzle_offset_cali	4	0	required
origin_file_name	0	1	always_conditional
param	2	0	required
pincode	1	0	required
plate_idx	0	2	always_conditional
print	50	8	mixed
profile_id	2	4	mixed
profile_print_3mf	0	2	always_conditional
project_id	2	2	mixed
public	1	0	required
reason	0	4	always_conditional
recv_err	0	6	always_conditional
refresh_expires_in	1	1	mixed
refresh_token	1	1	mixed
refreshtoken	0	1	always_conditional
result	2	33	mixed
score	0	1	always_conditional
sec_link	2	0	required
securityToken	1	0	required
sequence_id	6	1	mixed
setting	2	0	required
ssdp_version	0	4	always_conditional
stage	2	31	mixed
status	0	3	always_conditional
subtask_id	2	0	required
subtask_name	2	0	required
task_id	2	0	required
ticket	0	5	always_conditional
timelapse	5	0	required
timezone	1	0	required
token	2	0	required
tutk	1	0	required
type	0	1	always_conditional
uid	0	1	always_conditional
upload	0	2	always_conditional
url	0	7	always_conditional
use_ams	5	0	required
user	14	6	mixed
user_id	1	0	required
version	0	3	always_conditional
vibration_cali	2	0	required
wait_time	0	2	always_conditional
wifi	1	0	required
